;;;;;;;Raman Roy, Arvind Uppal, Sonu Bhasin, G Ravishankar;Raman ;Roy, Arvind Uppal, Sonu Bhasin, G Ravishankar
;;;;;;;Undisclosed Investor;Undisclosed ;Investor
;;;;;;;WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures;WRV ;Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures
;;;;;;;IAN Fund, Beenext, Indian Angel Network;IAN ;Fund, Beenext, Indian Angel Network
;;;;;;;Anand Chandrasekaran, Apurva Chamaria, Ritesh Malik, Ashish Toshniwal, Ajeet Khurana;Anand ;Chandrasekaran, Apurva Chamaria, Ritesh Malik, Ashish Toshniwal, Ajeet Khurana
;;;;;;;Accel Partners,;Accel ;Partners,
;;;;;;;China Lodging Group;China ;Lodging Group
;;;;;;;Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,;Sequoia ;Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,
;;;;;;;Chennai Angels, Keiretsu Forum & Others;Chennai ;Angels, Keiretsu Forum & Others
;;;;;;;Rohit Nanda, Rajit Nanda, Smarak Bhuyan, Sashwat Brahma,;Rohit ;Nanda, Rajit Nanda, Smarak Bhuyan, Sashwat Brahma,
;;;;;;;ECL Finance;ECL ;Finance
;;;;;;;Y Combinator;Y ;Combinator
;;;;;;;Rising Stars, Manish Amin, Pallav Pandey, Chavi Jafa;Rising ;Stars, Manish Amin, Pallav Pandey, Chavi Jafa
;;;;;;;DSG Consumer Partners, Saama Capital;DSG ;Consumer Partners, Saama Capital
;;;;;;;Shamik Sharma, Aprameya Radhakrishna;Shamik ;Sharma, Aprameya Radhakrishna
;;;;;;;Susquehanna Growth Equity LLC;Susquehanna ;Growth Equity LLC
;;;;;;;Undisclosed Investors;Undisclosed ;Investors
;;;;;;;Incofin Investment Management.;Incofin ;Investment Management.
;;;;;;;;;
;;;;;;;Sandway Investment Ltd, Pearl Brook Holdings, Silo Holdings and Al Nour;Sandway ;Investment Ltd, Pearl Brook Holdings, Silo Holdings and Al Nour
;;;;;;;LG Chandrasekhar;LG ;Chandrasekhar
;;;;;;;InnoVen Capital India;InnoVen ;Capital India
;;;;;;;InnoVen Capital;InnoVen ;Capital
;;;;;;;AV Thomas Group;AV ;Thomas Group
;;;;;;;Vertex Ventures, Prime Venture Partners.;Vertex ;Ventures, Prime Venture Partners.
;;;;;;;Zomato Media Pvt. Ltd;Zomato ;Media Pvt. Ltd
;;;;;;;;;
;;;;;;;Battery Road Digital Holdings LLC;Battery ;Road Digital Holdings LLC
;;;;;;;Mehul Shah;Mehul ;Shah
;;;;;;;Kae Capital;Kae ;Capital
;;;;;;;Rajan Anandan, Jamil Khatri, Ravi Iyer, Raghav Bahl;Rajan ;Anandan, Jamil Khatri, Ravi Iyer, Raghav Bahl
;;;;;;;Aniruddha Malpani, Startup Oasis;Aniruddha ;Malpani, Startup Oasis
;;;;;;;IL&FS Investment Managers, Omidyar Network.;IL&FS ;Investment Managers, Omidyar Network.
;;;;;;;Capillary Technologies, Whiteboard Capital, YourNest Angel Fund, Rajul Garg;Capillary ;Technologies, Whiteboard Capital, YourNest Angel Fund, Rajul Garg
;;;;;;;Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg;Blume ;Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg
;;;;;;;Rivergate Capital,;Rivergate ;Capital,
;;;;;;;;;
;;;;;;;Keiretsu Forum;Keiretsu ;Forum
;;;;;;;Kae Capital;Kae ;Capital
;;;;;;;Triton Investment Advisors;Triton ;Investment Advisors
;;;;;;;Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose;Kashyap ;Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose
;;;;;;;Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal;Kunal ;Shah, LetsVenture, Anupam Mittal, Hetal Sonpal
;;;;;;;Narottam Thudi, Shireesh Palle;Narottam ;Thudi, Shireesh Palle
;;;;;;;Cismat Cargo Services Pvt. Ltd.;Cismat ;Cargo Services Pvt. Ltd.
;;;;;;;Rajasthan Angel Investor Network;Rajasthan ;Angel Investor Network
;;;;;;;DSG Consumer Partners, Eight Roads Ventures India;DSG ;Consumer Partners, Eight Roads Ventures India
;;;;;;;;;
;;;;;;;JSW Ventures;JSW ;Ventures
;;;;;;;Anuj Puri, Redcliffe Capital, Artha India Ventures, Siddharth Kothari, Apoorv Ranjan Sharma,;Anuj ;Puri, Redcliffe Capital, Artha India Ventures, Siddharth Kothari, Apoorv Ranjan Sharma,
;;;;;;;R. Jayakumar, Vaibhav Vohra, Aditya Vazirani, Rhea Vazirani, AVN Business Solutions, Dreamweaver Investments;R. ;Jayakumar, Vaibhav Vohra, Aditya Vazirani, Rhea Vazirani, AVN Business Solutions, Dreamweaver Investments
;;;;;;;Anicut Capital;Anicut ;Capital
;;;;;;;Undisclosed investors;Undisclosed ;investors
;;;;;;;Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others;Rahul ;Dev Kumar, Rajesh Mahajan, Ankit Sharma and others
;;;;;;;Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others;Venugopal ;Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others
;;;;;;;Factor[e] Ventures;Factor[e] ;Ventures
;;;;;;;Tom Varkey;Tom ;Varkey
;;;;;;;Incubate Fund, Sanjay Shenoy, Mridul Upreti,;Incubate ;Fund, Sanjay Shenoy, Mridul Upreti,
;;;;;;;;;
;;;;;;;Nazara Games;Nazara ;Games
;;;;;;;Tekne Capital Management;Tekne ;Capital Management
;;;;;;;Bennett, Coleman and Company Ltd (BCCL),;Bennett, ;Coleman and Company Ltd (BCCL),
;;;;;;;InCred Finance, Fullerton India Credit Company Ltd;InCred ;Finance, Fullerton India Credit Company Ltd
;;;;;;;InCred, Krishnakumar Natarajan, Ravi Bhardwaj;InCred, ;Krishnakumar Natarajan, Ravi Bhardwaj
;;;;;;;Green Visor Capital LP II, IA Venture Strategies Fund II LP, Boillot Family Trust, Russell M Byrne, The Oliver R. Grace, Jr. Millennium Trust, SF Capital Investments LP;Green ;Visor Capital LP II, IA Venture Strategies Fund II LP, Boillot Family Trust, Russell M Byrne, The Oliver R. Grace, Jr. Millennium Trust, SF Capital Investments LP
;;;;;;;Abhinav Gupta,;Abhinav ;Gupta,
;;;;;;;IDG Ventures;IDG ;Ventures
;;;;;;;Undisclosed HNI\\xe2\\x80\\x99s;Undisclosed ;HNI\\xe2\\x80\\x99s
;;;;;;;iSquare Global,;iSquare ;Global,
;;;;;;;Social Alpha, Rajan Anandan, Rajeev Ahuja, Kshitij Arora;Social ;Alpha, Rajan Anandan, Rajeev Ahuja, Kshitij Arora
;;;;;;;Blume Ventures. Lenovo Capital and Incubator Group (LCIG);Blume ;Ventures. Lenovo Capital and Incubator Group (LCIG)
;;;;;;;Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital;Riverwood ;Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital
;;;;;;;Fireside Ventures;Fireside ;Ventures
;;;;;;;IIT Ropar, Imanpreet Singh Arora, Sidharth Rozario, Saurabh Abichandani, Shikhar Gupta,;IIT ;Ropar, Imanpreet Singh Arora, Sidharth Rozario, Saurabh Abichandani, Shikhar Gupta,
;;;;;;;Haresh Chawla;Haresh ;Chawla
;;;;;;;JS Capital Management, Social Capital, Horizons Ventures,;JS ;Capital Management, Social Capital, Horizons Ventures,
;;;;;;;VAMM Ventures, Raksul, Dena;VAMM ;Ventures, Raksul, Dena
;;;;;;;PBS Srinivas, Vinod Martin,;PBS ;Srinivas, Vinod Martin,
;;;;;;;Sistema Asia Fund, C31 Ventures, Qualgro.;Sistema ;Asia Fund, C31 Ventures, Qualgro.
;;;;;;;Accel Partners, IDG Ventures, Kalaari Capital,\\xc2\\xa0 UC-RNT fund;Accel ;Partners, IDG Ventures, Kalaari Capital,\\xc2\\xa0 UC-RNT fund
;;;;;;;idal Health, growx ventures, Capier Investments, Globevestor & others;idal ;Health, growx ventures, Capier Investments, Globevestor & others
;;;;;;;Small Industries Development Bank of India (SIDBI);Small ;Industries Development Bank of India (SIDBI)
;;;;;;;Ward Ferry Management and Karst Peak Capital,;Ward ;Ferry Management and Karst Peak Capital,
;;;;;;;Sequoia India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,;Sequoia ;India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,
;;;;;;;Reliance Corporate Advisory Services Ltd;Reliance ;Corporate Advisory Services Ltd
;;;;;;;Infuse Ventures, JLL;Infuse ;Ventures, JLL
;;;;;;;Asset Management (Asia) Ltd, Digital Garage Inc;Asset ;Management (Asia) Ltd, Digital Garage Inc
;;;;;;;Kalaari Capital, Nexus India Capital Advisors;Kalaari ;Capital, Nexus India Capital Advisors
;;;;;;;International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway;International ;Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway
;;;;;;;;;
;;;;;;;Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs;Blume ;Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs
;;;;;;;;;
;;;;;;;India Quotient, Shunwei Capital;India ;Quotient, Shunwei Capital
;;;;;;;Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures;Sreeram ;Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures
;;;;;;;Mitsui & Co.;Mitsui ;& Co.
;;;;;;;Dunamis Ventures Pte Ltd;Dunamis ;Ventures Pte Ltd
;;;;;;;Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures;Venture ;Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures
;;;;;;;Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital;Fireside ;Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital
;;;;;;;SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures;SBI-FMO ;Fund, Bessemer Venture Partners, Catamaran Ventures
;;;;;;;Corvus Ventures, MAPE Advisory Group;Corvus ;Ventures, MAPE Advisory Group
;;;;;;;500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta;500;Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta
;;;;;;;Indian Angel Network;Indian ;Angel Network
;;;;;;;Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen;Brigade ;Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen
;;;;;;;Blacksoil Capital Pvt. Ltd;Blacksoil ;Capital Pvt. Ltd
;;;;;;;Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das;Sequoia ;Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das
;;;;;;;IDG Ventures India Advisors, Jungle Ventures;IDG ;Ventures India Advisors, Jungle Ventures
;;;;;;;One97 Communication Ltd;One97 ;Communication Ltd
;;;;;;;Uber Technologies Inc, Amaya Capital LLP;Uber ;Technologies Inc, Amaya Capital LLP
;;;;;;;;;
;;;;;;;Kae Capital;Kae ;Capital
;;;;;;;ain Capital Ventures, Renaud Laplanche;ain ;Capital Ventures, Renaud Laplanche
;;;;;;;Francesco Cara;Francesco ;Cara
;;;;;;;ABI-Showatech (India) Ltd;ABI-Showatech ;(India) Ltd
;;;;;;;Kae Capital, M&S Partners,;Kae ;Capital, M&S Partners,
;;;;;;;Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others;Subramani ;Somasundaram, Sundeep Sahni, Mayank Mittal & Others
;;;;;;;Harmeet Bajaj, Pameela P, Fusiontech Ventures & Others;Harmeet ;Bajaj, Pameela P, Fusiontech Ventures & Others
;;;;;;;Sunil Kalra, Aditya Singh, Rishi Srivastava, Rajan Anandan;Sunil ;Kalra, Aditya Singh, Rishi Srivastava, Rajan Anandan
;;;;;;;Blume Ventures, NB Ventures, Nspira;Blume ;Ventures, NB Ventures, Nspira
;;;;;;;Stellaris Venture Partners,;Stellaris ;Venture Partners,
;;;;;;;Tencent Holdings;Tencent ;Holdings
;;;;;;;Yuvraj Singh;Yuvraj ;Singh
;;;;;;;Goldman Sachs;Goldman ;Sachs
;;;;;;;Indian Angel Network, Anand Mahindra;Indian ;Angel Network, Anand Mahindra
;;;;;;;HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital;HBM ;Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital
;;;;;;;Amen Dhyllon;Amen ;Dhyllon
;;;;;;;Info Edge (India) Ltd;Info ;Edge (India) Ltd
;;;;;;;RoundGlass Partners;RoundGlass ;Partners
;;;;;;;Grace Grace Techno Ventures LLP, Rajul Garg & Other undisclosed investors;Grace ;Grace Techno Ventures LLP, Rajul Garg & Other undisclosed investors
;;;;;;;TVS Motor Company;TVS ;Motor Company
;;;;;;;Emerging India;Emerging ;India
;;;;;;;lockchain ecosystem Global Advisors, Horseferry;lockchain ;ecosystem Global Advisors, Horseferry
;;;;;;;Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon;Blume ;Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon
;;;;;;;Arun Patodia, Bharat Kedia;Arun ;Patodia, Bharat Kedia
;;;;;;;500 Startups, IvyCap Ventures;500;Startups, IvyCap Ventures
;;;;;;;Blume Ventures;Blume ;Ventures
;;;;;;;Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan;Harsh ;Mahajan, Farhan Naqvi, Sreepathy Viswanathan
;;;;;;;Sundaram Finance Holdings;Sundaram ;Finance Holdings
;;;;;;;SBI (Stand Up India Scheme);SBI ;(Stand Up India Scheme)
;;;;;;;WaterBridge Ventures;WaterBridge ;Ventures
;;;;;;;SQue Capital;SQue ;Capital
;;;;;;;Bodhtree Consulting Limited;Bodhtree ;Consulting Limited
;;;;;;;Norwest Venture Partners;Norwest ;Venture Partners
;;;;;;;Norwest Venture Partners;Norwest ;Venture Partners
;;;;;;;Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha;Mohan ;Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha
;;;;;;;Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao;Pawan ;Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao
;;;;;;;Dr Ramesh Ayyala, Satya Muthyala;Dr ;Ramesh Ayyala, Satya Muthyala
;;;;;;;Cao Yibin, Huang Wei, Madhusudan E,;Cao ;Yibin, Huang Wei, Madhusudan E,
;;;;;;;Yes Bank;Yes ;Bank
;;;;;;;Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava;Unicorn ;India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava
;;;;;;;Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures;Venture ;Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures
;;;;;;;Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham;Artha ;India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham
;;;;;;;;;
;;;;;;;Nexus Venture Partners, Founders Fund;Nexus ;Venture Partners, Founders Fund
;;;;;;;Nexus Venture Partners, Omidyar Network;Nexus ;Venture Partners, Omidyar Network
;;;;;;;Fairfax Holdings;Fairfax ;Holdings
;;;;;;;Tekne Capital Management LLC;Tekne ;Capital Management LLC
;;;;;;;RB Investments;RB ;Investments
;;;;;;;undisclosed investors;undisclosed ;investors
;;;;;;;Sequoia India, NEA, Prime Venture Partners;Sequoia ;India, NEA, Prime Venture Partners
;;;;;;;Nexus Venture Partners, Mekin Maheshwari;Nexus ;Venture Partners, Mekin Maheshwari
;;;;;;;Mohammed Khan, Sameer Narayan & Others;Mohammed ;Khan, Sameer Narayan & Others
;;;;;;;Alphard Maritime Group;Alphard ;Maritime Group
;;;;;;;Cross Border Angels & Experts, Rajasthan Angel Innovators Network, The Chennai Angels;Cross ;Border Angels & Experts, Rajasthan Angel Innovators Network, The Chennai Angels
;;;;;;;YouWeCan Ventures;YouWeCan ;Ventures
;;;;;;;BLIP Initiatives;BLIP ;Initiatives
;;;;;;;Eight Roads Ventures;Eight ;Roads Ventures
;;;;;;;Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP;Lightspeed ;India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP
;;;;;;;;;
;;;;;;;;;
;;;;;;;IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital;IIFL ;Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital
;;;;;;;Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust;Manipal ;Education and Medical Group (MEMG), SAR Group, The Grover Trust
;;;;;;;;;
;;;;;;;UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners;UC-RNT ;Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners
;;;;;;;Sequoia Capital;Sequoia ;Capital
;;;;;;;General Catalyst, Founder Collective;General ;Catalyst, Founder Collective
;;;;;;;Endiya Partners, Ventureast;Endiya ;Partners, Ventureast
;;;;;;;Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere;Mekin ;Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere
;;;;;;;Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd;Kae ;Capital, India Quotient, IFMR, and MAS Financial Services Ltd
;;;;;;;Undisclosed investors;Undisclosed ;investors
;;;;;;;Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon;Mohit ;Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon
;;;;;;;;;
;;;;;;;Seedfund, RB International;Seedfund, ;RB International
;;;;;;;Snow Leopard Ventures, Alto Partners;Snow ;Leopard Ventures, Alto Partners
;;;;;;;Gujarat Venture Finance Ltd;Gujarat ;Venture Finance Ltd
;;;;;;;The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting;The ;Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting
;;;;;;;Aparup Sengupta, Devendra Reddy,;Aparup ;Sengupta, Devendra Reddy,
;;;;;;;Kalaari Capital, Udayan Goyal;Kalaari ;Capital, Udayan Goyal
;;;;;;;SAP.iO, Unilazer Ventures;SAP.iO, ;Unilazer Ventures
;;;;;;;Abhinav Bindra, Gaurav Marya;Abhinav ;Bindra, Gaurav Marya
;;;;;;;;;
;;;;;;;Undisclosed Investors;Undisclosed ;Investors
;;;;;;;Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners;Vy ;Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners
;;;;;;;Clairvest Group;Clairvest ;Group
;;;;;;;International Finance Corporation;International ;Finance Corporation
;;;;;;;Hyderabad Angels;Hyderabad ;Angels
;;;;;;;Accel Partners, Nandan Nilekani,;Accel ;Partners, Nandan Nilekani,
;;;;;;;Dutch government fund;Dutch ;government fund
;;;;;;;undisclosed investors;undisclosed ;investors
;;;;;;;Falcon Edge Capital,\\xc2\\xa0 Capital Advisers;Falcon ;Edge Capital,\\xc2\\xa0 Capital Advisers
;;;;;;;undisclosed investors;undisclosed ;investors
;;;;;;;Asuka Holdings, YouWeCan Ventures, Beenext, Beenos, M&S Partners;Asuka ;Holdings, YouWeCan Ventures, Beenext, Beenos, M&S Partners
;;;;;;;Nimit Panigrahi;Nimit ;Panigrahi
;;;;;;;Hinduja family;Hinduja ;family
;;;;;;;50K Ventures;50K ;Ventures
;;;;;;;Accel Partners;Accel ;Partners
;;;;;;;;;
;;;;;;;Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.;Rainbow ;Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.
;;;;;;;Indian Angels Network, LetsVenture;Indian ;Angels Network, LetsVenture
;;;;;;;Deepak Nathani;Deepak ;Nathani
;;;;;;;Ajay Relan, LetsVenture;Ajay ;Relan, LetsVenture
;;;;;;;Vertex Ventures, C31 Ventures;Vertex ;Ventures, C31 Ventures
;;;;;;;Trifecta Capital Advisors LLP, Prathithi Investment Trust, RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others;Trifecta ;Capital Advisors LLP, Prathithi Investment Trust, RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others
;;;;;;;Satoshi Studios;Satoshi ;Studios
;;;;;;;Anand Chandrasekaran;Anand ;Chandrasekaran
;;;;;;;Luxasia Group;Luxasia ;Group
;;;;;;;GVFL, Unicorn India Ventures;GVFL, ;Unicorn India Ventures
;;;;;;;Vellayan Subbiah, Jonathan Boutelle, Rajan Anandan,\\xc2\\xa0 Rahul Chawla, Salil Donde, Amit Ranjan, Govind Rajan & Others;Vellayan ;Subbiah, Jonathan Boutelle, Rajan Anandan,\\xc2\\xa0 Rahul Chawla, Salil Donde, Amit Ranjan, Govind Rajan & Others
;;;;;;;Times Internet, GVFL;Times ;Internet, GVFL
;;;;;;;InnoVen Capital;InnoVen ;Capital
;;;;;;;;;
;;;;;;;Varsha Rao, Surojit Chatterjee, Nirav Choksi & Others;Varsha ;Rao, Surojit Chatterjee, Nirav Choksi & Others
;;;;;;;DG Ventures India, Dewan Housing Finance Corp;DG ;Ventures India, Dewan Housing Finance Corp
;;;;;;;Chirag Nikunj Sheth & Others;Chirag ;Nikunj Sheth & Others
;;;;;;;Aakrit Vaish, Swapan Rajdev, Sushill Jiwarajka;Aakrit ;Vaish, Swapan Rajdev, Sushill Jiwarajka
;;;;;;;Impanix Capital;Impanix ;Capital
;;;;;;;;;
;;;;;;;Infibeam, CCavenue;Infibeam, ;CCavenue
;;;;;;;undisclosed investors;undisclosed ;investors
;;;;;;;IdeaSpring Capital;IdeaSpring ;Capital
;;;;;;;Kstart Capital;Kstart ;Capital
;;;;;;;;;
;;;;;;;Innovations East;Innovations ;East
;;;;;;;;;
;;;;;;;undisclosed investors;undisclosed ;investors
;;;;;;;Jungle Ventures;Jungle ;Ventures
;;;;;;;Ayesha Takia Azmi, Abu Farhan Azmi;Ayesha ;Takia Azmi, Abu Farhan Azmi
;;;;;;;Dr. Ritesh Malik;Dr. ;Ritesh Malik
;;;;;;;SoftBank Group;SoftBank ;Group
;;;;;;;Dheeraj Pandey, Rajesh Yohannan, Akash Garg;Dheeraj ;Pandey, Rajesh Yohannan, Akash Garg
;;;;;;;Ankur Capital, Hyderabad Angels;Ankur ;Capital, Hyderabad Angels
;;;;;;;Gokaldas Exports Ltd;Gokaldas ;Exports Ltd
;;;;;;;Fosun International;Fosun ;International
;;;;;;;JLL, 1Crowd;JLL, ;1Crowd
;;;;;;;Eagle10 Ventures;Eagle10 ;Ventures
;;;;;;;Lightspeed Venture Partners, Vy Capital,;Lightspeed ;Venture Partners, Vy Capital,
;;;;;;;Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody;Ratan ;Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody
;;;;;;;Trifecta Capital;Trifecta ;Capital
;;;;;;;Undisclosed Investors;Undisclosed ;Investors
;;;;;;;Blue Orchard;Blue ;Orchard
;;;;;;;Lahiri Music\\xe2\\x80\\x99s family office;Lahiri ;Music\\xe2\\x80\\x99s family office
;;;;;;;;;
;;;;;;;PV Sahad, Sandeep Shroff, Rahul Gupta;PV ;Sahad, Sandeep Shroff, Rahul Gupta
;;;;;;;Undisclosed Investors;Undisclosed ;Investors
;;;;;;;Carpediem Capital;Carpediem ;Capital
;;;;;;;Matrix Partners;Matrix ;Partners
;;;;;;;Undisclosed Investors;Undisclosed ;Investors
;;;;;;;Soma Capital, Great Oaks Ventures, 122 West Ventures;Soma ;Capital, Great Oaks Ventures, 122 West Ventures
;;;;;;;Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners;Nasper, ;Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners
;;;;;;;Rohto Pharmaceutical;Rohto ;Pharmaceutical
;;;;;;;Lightspeed India Partners, Waterbridge Ventures;Lightspeed ;India Partners, Waterbridge Ventures
;;;;;;;Mathew Cyriac, Florintree Advisors,;Mathew ;Cyriac, Florintree Advisors,
;;;;;;;Bertelsmann India;Bertelsmann ;India
;;;;;;;Matrix Partners India;Matrix ;Partners India
;;;;;;;Quadria Capital Advisors;Quadria ;Capital Advisors
;;;;;;;Rohitash Gupta;Rohitash ;Gupta
;;;;;;;Unicorn India Ventures & Others;Unicorn ;India Ventures & Others
;;;;;;;Aspada Investments;Aspada ;Investments
;;;;;;;Bessemer Venture Partners;Bessemer ;Venture Partners
;;;;;;;Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver;Stellaris ;Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver
;;;;;;;Kalaari Capital, Norwest Venture Partners;Kalaari ;Capital, Norwest Venture Partners
;;;;;;;Keyur Joshi, Pavan Bakeri;Keyur ;Joshi, Pavan Bakeri
;;;;;;;Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others;Koen ;Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others
;;;;;;;Deepak Kulkarni, Sandeep Pangal;Deepak ;Kulkarni, Sandeep Pangal
;;;;;;;Zephyr Peacock India;Zephyr ;Peacock India
;;;;;;;FreakOut Group, Blume Ventures, Herb Madan, WaterBridge Ventures;FreakOut ;Group, Blume Ventures, Herb Madan, WaterBridge Ventures
;;;;;;;Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners;Mahindra ;Partners, Eight Roads Ventures, F-Prime Capital Partners
;;;;;;;Accel Partners, Shunwei Capital;Accel ;Partners, Shunwei Capital
;;;;;;;YouWeCan Ventures,;YouWeCan ;Ventures,
;;;;;;;;;
;;;;;;;Ishwar Singh,Farhaan Shabbir;Ishwar ;Singh,Farhaan Shabbir
;;;;;;;Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,;Bessemer ;Venture Partners, Orios Venture Partners, Trifecta Capital,
;;;;;;;Labruyere Eberl\\xc3\\xa9;Labruyere ;Eberl\\xc3\\xa9
;;;;;;;Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners;Lightspeed ;India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners
;;;;;;;Rajan Anandan, L.D Sharma, Saurabh Arora;Rajan ;Anandan, L.D Sharma, Saurabh Arora
;;;;;;;Mahindra and Mahindra Financial Services;Mahindra ;and Mahindra Financial Services
